gene	kog
Amillepora31884	Transcription
Amillepora31883	Function Unknown
Amillepora31888	Function Unknown
Amillepora36891	Transcription
Amillepora36893	Function Unknown
Amillepora36890	Nucleotide transport and metabolism
Amillepora36894	Energy production and conversion
Amillepora36892	Energy production and conversion
Amillepora36897	RNA processing and modification
Amillepora36898	RNA processing and modification
Amillepora29693	Signal transduction mechanisms
Amillepora29695	Signal transduction mechanisms
Amillepora29699	Amino acid transport and metabolism
Amillepora29698	RNA processing and modification
Amillepora29705	Secondary metabolites biosynthesis, transport and catabolism
Amillepora29700	RNA processing and modification
Amillepora29704	Nucleotide transport and metabolism
Amillepora29706	Carbohydrate transport and metabolism
Amillepora29721	Function Unknown
Amillepora29723	Intracellular trafficking, secretion, and vesicular transport
Amillepora29727	Cell wall/membrane/envelope biogenesis
Amillepora29727	Extracellular structures
Amillepora29728	Posttranslational modification, protein turnover, chaperones
Amillepora29725	Replication, recombination and repair
Amillepora29720	Function Unknown
Amillepora29736	Function Unknown
Amillepora29738	Posttranslational modification, protein turnover, chaperones
Amillepora29730	Replication, recombination and repair
Amillepora29732	Cell wall/membrane/envelope biogenesis
Amillepora29740	Carbohydrate transport and metabolism
Amillepora29737	Chromatin structure and dynamics
Amillepora29737	Signal transduction mechanisms
Amillepora29731	Amino acid transport and metabolism
Amillepora29731	Posttranslational modification, protein turnover, chaperones
Amillepora29739	Cell cycle control, cell division, chromosome partitioning
Amillepora29735	RNA processing and modification
Amillepora29743	Cytoskeleton
Amillepora29751	Chromatin structure and dynamics
Amillepora29751	Signal transduction mechanisms
Amillepora29756	Amino acid transport and metabolism
Amillepora29756	Posttranslational modification, protein turnover, chaperones
Amillepora29753	RNA processing and modification
Amillepora29749	Cell cycle control, cell division, chromosome partitioning
Amillepora29752	Function Unknown
Amillepora29754	Cell wall/membrane/envelope biogenesis
Amillepora29750	Posttranslational modification, protein turnover, chaperones
Amillepora29744	Cytoskeleton
Amillepora29746	Inorganic ion transport and metabolism
Amillepora29748	Carbohydrate transport and metabolism
Amillepora29762	Replication, recombination and repair
Amillepora29757	Replication, recombination and repair
Amillepora29763	Intracellular trafficking, secretion, and vesicular transport
Amillepora29767	Intracellular trafficking, secretion, and vesicular transport
Amillepora29766	Function Unknown
Amillepora29759	Posttranslational modification, protein turnover, chaperones
Amillepora29781	Function Unknown
Amillepora29774	Function Unknown
Amillepora29770	Function Unknown
Amillepora29786	RNA processing and modification
Amillepora29780	Carbohydrate transport and metabolism
Amillepora29769	Function Unknown
Amillepora29782	Nucleotide transport and metabolism
Amillepora34168	Signal transduction mechanisms
Amillepora34164	Function Unknown
Amillepora34171	Replication, recombination and repair
Amillepora34172	Intracellular trafficking, secretion, and vesicular transport
Amillepora34175	Intracellular trafficking, secretion, and vesicular transport
Amillepora34180	Intracellular trafficking, secretion, and vesicular transport
Amillepora34179	Function Unknown
Amillepora34091	Replication, recombination and repair
Amillepora34094	Inorganic ion transport and metabolism
Amillepora34094	Signal transduction mechanisms
Amillepora34097	Function Unknown
Amillepora34096	Function Unknown
Amillepora34098	Function Unknown
Amillepora29982	Chromatin structure and dynamics
Amillepora29986	Chromatin structure and dynamics
Amillepora29986	Transcription
Amillepora29987	Transcription
Amillepora29983	Posttranslational modification, protein turnover, chaperones
Amillepora29993	Function Unknown
Amillepora29995	Function Unknown
Amillepora29994	Function Unknown
Amillepora29990	Transcription
Amillepora29991	Inorganic ion transport and metabolism
Amillepora29991	Signal transduction mechanisms
Amillepora29992	Inorganic ion transport and metabolism
Amillepora29992	Signal transduction mechanisms
Amillepora29997	Function Unknown
Amillepora29989	Function Unknown
Amillepora30003	Amino acid transport and metabolism
Amillepora30004	Transcription
Amillepora29999	Energy production and conversion
Amillepora29999	Coenzyme transport and metabolism
Amillepora30001	Signal transduction mechanisms
Amillepora30005	Energy production and conversion
Amillepora30007	Intracellular trafficking, secretion, and vesicular transport
Amillepora30007	Cytoskeleton
Amillepora30013	Translation, ribosomal structure and biogenesis
Amillepora30021	Translation, ribosomal structure and biogenesis
Amillepora30022	Cell cycle control, cell division, chromosome partitioning
Amillepora30022	Signal transduction mechanisms
Amillepora30017	Cell cycle control, cell division, chromosome partitioning
Amillepora30023	Function Unknown
Amillepora30015	Energy production and conversion
Amillepora30028	Function Unknown
Amillepora30024	Posttranslational modification, protein turnover, chaperones
Amillepora30027	Signal transduction mechanisms
Amillepora30026	Transcription
Amillepora30030	Inorganic ion transport and metabolism
Amillepora30032	Function Unknown
Amillepora30034	Function Unknown
Amillepora30035	Function Unknown
Amillepora30036	Amino acid transport and metabolism
Amillepora30044	Function Unknown
Amillepora30041	Function Unknown
Amillepora30038	Function Unknown
Amillepora30073	Amino acid transport and metabolism
Amillepora30067	Function Unknown
Amillepora30071	Function Unknown
Amillepora30066	Function Unknown
Amillepora30087	Inorganic ion transport and metabolism
Amillepora30091	Signal transduction mechanisms
Amillepora30075	Function Unknown
Amillepora30092	Transcription
Amillepora30074	Function Unknown
Amillepora30090	Function Unknown
Amillepora30089	Function Unknown
Amillepora34466	Function Unknown
Amillepora34475	Function Unknown
Amillepora34471	Function Unknown
Amillepora34473	Function Unknown
Amillepora34476	Posttranslational modification, protein turnover, chaperones
Amillepora37029	Lipid transport and metabolism
Amillepora36941	Cell cycle control, cell division, chromosome partitioning
Amillepora36946	Function Unknown
Amillepora36938	Posttranslational modification, protein turnover, chaperones
Amillepora36943	Function Unknown
Amillepora36940	Function Unknown
Amillepora36939	Signal transduction mechanisms
Amillepora36947	Intracellular trafficking, secretion, and vesicular transport
Amillepora36942	Posttranslational modification, protein turnover, chaperones
Amillepora36944	Intracellular trafficking, secretion, and vesicular transport
Amillepora33189	Function Unknown
Amillepora33185	Function Unknown
Amillepora33179	Function Unknown
Amillepora33195	Function Unknown
Amillepora33193	Function Unknown
Amillepora33200	Replication, recombination and repair
Amillepora33199	Function Unknown
Amillepora33202	Signal transduction mechanisms
Amillepora33212	Replication, recombination and repair
Amillepora33205	Function Unknown
Amillepora33214	Replication, recombination and repair
Amillepora33213	Replication, recombination and repair
Amillepora33211	Function Unknown
Amillepora33216	Posttranslational modification, protein turnover, chaperones
Amillepora33237	Function Unknown
Amillepora33239	Function Unknown
Amillepora33238	Function Unknown
Amillepora33241	Function Unknown
Amillepora33242	Function Unknown
Amillepora33240	Function Unknown
Amillepora33246	Function Unknown
Amillepora33249	Function Unknown
Amillepora33247	Signal transduction mechanisms
Amillepora33255	Function Unknown
Amillepora33250	Function Unknown
Amillepora33252	Function Unknown
Amillepora28937	Function Unknown
Amillepora28940	Function Unknown
Amillepora28941	Carbohydrate transport and metabolism
Amillepora28942	Function Unknown
Amillepora28947	Function Unknown
Amillepora28948	Function Unknown
Amillepora28949	Function Unknown
Amillepora28950	Carbohydrate transport and metabolism
Amillepora28951	Function Unknown
Amillepora28954	Function Unknown
Amillepora28957	Function Unknown
Amillepora28961	Function Unknown
Amillepora28959	Function Unknown
Amillepora28963	Intracellular trafficking, secretion, and vesicular transport
Amillepora28960	Signal transduction mechanisms
Amillepora28965	Intracellular trafficking, secretion, and vesicular transport
Amillepora28964	Intracellular trafficking, secretion, and vesicular transport
Amillepora28966	Lipid transport and metabolism
Amillepora28967	Signal transduction mechanisms
Amillepora28969	Signal transduction mechanisms
Amillepora29003	Transcription
Amillepora29004	Intracellular trafficking, secretion, and vesicular transport
Amillepora29000	Signal transduction mechanisms
Amillepora28999	Signal transduction mechanisms
Amillepora29013	Intracellular trafficking, secretion, and vesicular transport
Amillepora29011	Intracellular trafficking, secretion, and vesicular transport
Amillepora29009	Function Unknown
Amillepora29010	Function Unknown
Amillepora29012	Intracellular trafficking, secretion, and vesicular transport
Amillepora33482	Function Unknown
Amillepora33486	Cell cycle control, cell division, chromosome partitioning
Amillepora33483	Function Unknown
Amillepora33484	Secondary metabolites biosynthesis, transport and catabolism
Amillepora33490	Cell cycle control, cell division, chromosome partitioning
Amillepora33498	Function Unknown
Amillepora33500	Intracellular trafficking, secretion, and vesicular transport
Amillepora33489	Function Unknown
Amillepora33495	Function Unknown
Amillepora33494	Function Unknown
Amillepora33492	Function Unknown
Amillepora37247	Function Unknown
Amillepora37249	Function Unknown
Amillepora37025	Function Unknown
Amillepora37026	Function Unknown
Amillepora37023	Function Unknown
Amillepora37027	Function Unknown
Amillepora37024	Function Unknown
Amillepora32156	Signal transduction mechanisms
Amillepora32158	Function Unknown
Amillepora32160	Signal transduction mechanisms
Amillepora32159	Signal transduction mechanisms
Amillepora32157	Posttranslational modification, protein turnover, chaperones
Amillepora32165	Signal transduction mechanisms
Amillepora32167	Function Unknown
Amillepora32168	RNA processing and modification
Amillepora32169	Lipid transport and metabolism
Amillepora32172	Function Unknown
Amillepora32166	Function Unknown
Amillepora32161	Signal transduction mechanisms
Amillepora32162	Signal transduction mechanisms
Amillepora32163	Signal transduction mechanisms
Amillepora32174	Function Unknown
Amillepora32176	Function Unknown
Amillepora32178	Amino acid transport and metabolism
Amillepora32175	Lipid transport and metabolism
Amillepora32186	Transcription
Amillepora32179	Translation, ribosomal structure and biogenesis
Amillepora32184	Replication, recombination and repair
Amillepora32185	Signal transduction mechanisms
Amillepora32187	Signal transduction mechanisms
Amillepora32189	Function Unknown
Amillepora32183	Replication, recombination and repair
Amillepora32196	Transcription
Amillepora32193	Function Unknown
Amillepora32190	Function Unknown
Amillepora32195	Function Unknown
Amillepora32202	Intracellular trafficking, secretion, and vesicular transport
Amillepora32203	Posttranslational modification, protein turnover, chaperones
Amillepora32208	Function Unknown
Amillepora32194	Intracellular trafficking, secretion, and vesicular transport
Amillepora32200	Function Unknown
Amillepora32197	Signal transduction mechanisms
Amillepora32204	Transcription
Amillepora32201	Function Unknown
Amillepora32206	Posttranslational modification, protein turnover, chaperones
Amillepora32209	Energy production and conversion
Amillepora32423	Energy production and conversion
Amillepora32425	Signal transduction mechanisms
Amillepora32426	Signal transduction mechanisms
Amillepora32426	Intracellular trafficking, secretion, and vesicular transport
Amillepora32422	Inorganic ion transport and metabolism
Amillepora32427	Signal transduction mechanisms
Amillepora32428	Function Unknown
Amillepora32429	Function Unknown
Amillepora32442	Function Unknown
Amillepora32432	Signal transduction mechanisms
Amillepora32434	Signal transduction mechanisms
Amillepora32440	Function Unknown
Amillepora32447	Signal transduction mechanisms
Amillepora32447	Intracellular trafficking, secretion, and vesicular transport
Amillepora32444	Energy production and conversion
Amillepora32446	Signal transduction mechanisms
Amillepora32443	Inorganic ion transport and metabolism
Amillepora32448	Signal transduction mechanisms
Amillepora33923	Carbohydrate transport and metabolism
Amillepora33921	Intracellular trafficking, secretion, and vesicular transport
Amillepora33921	Nuclear structure
Amillepora33924	Intracellular trafficking, secretion, and vesicular transport
Amillepora33924	Nuclear structure
Amillepora33927	Function Unknown
Amillepora33940	Signal transduction mechanisms
Amillepora33938	Function Unknown
Amillepora33929	Intracellular trafficking, secretion, and vesicular transport
Amillepora33929	Nuclear structure
Amillepora33932	Intracellular trafficking, secretion, and vesicular transport
Amillepora33932	Nuclear structure
Amillepora33936	Intracellular trafficking, secretion, and vesicular transport
Amillepora33936	Nuclear structure
Amillepora33930	Intracellular trafficking, secretion, and vesicular transport
Amillepora33930	Nuclear structure
Amillepora37056	Function Unknown
Amillepora37055	Nucleotide transport and metabolism
Amillepora32552	Function Unknown
Amillepora32548	Function Unknown
Amillepora32549	Signal transduction mechanisms
Amillepora32550	Posttranslational modification, protein turnover, chaperones
Amillepora32551	Translation, ribosomal structure and biogenesis
Amillepora32553	Amino acid transport and metabolism
Amillepora32555	Amino acid transport and metabolism
Amillepora32563	Translation, ribosomal structure and biogenesis
Amillepora32558	Posttranslational modification, protein turnover, chaperones
Amillepora32556	Amino acid transport and metabolism
Amillepora32560	Signal transduction mechanisms
Amillepora32561	Signal transduction mechanisms
Amillepora32562	Function Unknown
Amillepora32554	Function Unknown
Amillepora32569	Intracellular trafficking, secretion, and vesicular transport
Amillepora32565	Signal transduction mechanisms
Amillepora32566	Amino acid transport and metabolism
Amillepora32568	Function Unknown
Amillepora32573	Amino acid transport and metabolism
Amillepora32575	Amino acid transport and metabolism
Amillepora32572	Amino acid transport and metabolism
Amillepora32580	Signal transduction mechanisms
Amillepora32574	Amino acid transport and metabolism
Amillepora32578	Signal transduction mechanisms
Amillepora32581	Posttranslational modification, protein turnover, chaperones
Amillepora32581	Signal transduction mechanisms
Amillepora32582	Posttranslational modification, protein turnover, chaperones
Amillepora32582	Signal transduction mechanisms
Amillepora32576	Intracellular trafficking, secretion, and vesicular transport
Amillepora32577	Intracellular trafficking, secretion, and vesicular transport
Amillepora32589	Signal transduction mechanisms
Amillepora32586	Function Unknown
Amillepora32585	Nucleotide transport and metabolism
Amillepora32591	Inorganic ion transport and metabolism
Amillepora32592	Inorganic ion transport and metabolism
Amillepora32588	Lipid transport and metabolism
Amillepora32594	Amino acid transport and metabolism
Amillepora32587	Function Unknown
Amillepora32590	Signal transduction mechanisms
Amillepora29475	Function Unknown
Amillepora29492	Function Unknown
Amillepora29505	Inorganic ion transport and metabolism
Amillepora29504	RNA processing and modification
Amillepora29508	Signal transduction mechanisms
Amillepora29508	Defense mechanisms
Amillepora29507	Coenzyme transport and metabolism
Amillepora29494	Function Unknown
Amillepora29506	Inorganic ion transport and metabolism
Amillepora29510	Intracellular trafficking, secretion, and vesicular transport
Amillepora29512	Function Unknown
Amillepora29511	Function Unknown
Amillepora29514	Intracellular trafficking, secretion, and vesicular transport
Amillepora29516	Function Unknown
Amillepora29517	Function Unknown
Amillepora29521	Posttranslational modification, protein turnover, chaperones
Amillepora29522	Signal transduction mechanisms
Amillepora29523	Signal transduction mechanisms
Amillepora29525	Signal transduction mechanisms
Amillepora29533	Carbohydrate transport and metabolism
Amillepora29532	Inorganic ion transport and metabolism
Amillepora29529	Function Unknown
Amillepora29531	Function Unknown
Amillepora29527	Function Unknown
Amillepora29535	Function Unknown
Amillepora29536	Carbohydrate transport and metabolism
Amillepora29558	Carbohydrate transport and metabolism
Amillepora29560	Replication, recombination and repair
Amillepora29557	Energy production and conversion
Amillepora29559	Translation, ribosomal structure and biogenesis
Amillepora29556	Carbohydrate transport and metabolism
Amillepora32923	Nucleotide transport and metabolism
Amillepora32926	Nucleotide transport and metabolism
Amillepora32927	Nucleotide transport and metabolism
Amillepora32925	Nucleotide transport and metabolism
Amillepora32928	Function Unknown
Amillepora32930	Nucleotide transport and metabolism
Amillepora32929	Chromatin structure and dynamics
Amillepora32929	Cell cycle control, cell division, chromosome partitioning
Amillepora32935	Chromatin structure and dynamics
Amillepora32935	Cell cycle control, cell division, chromosome partitioning
Amillepora32936	Function Unknown
Amillepora32938	Replication, recombination and repair
Amillepora32932	Function Unknown
Amillepora32934	Replication, recombination and repair
Amillepora32933	Function Unknown
Amillepora32950	Function Unknown
Amillepora32951	Signal transduction mechanisms
Amillepora32954	Function Unknown
Amillepora32947	Replication, recombination and repair
Amillepora32944	Function Unknown
Amillepora32946	Function Unknown
Amillepora32948	Function Unknown
Amillepora32949	Function Unknown
Amillepora33574	Function Unknown
Amillepora33571	Energy production and conversion
Amillepora33575	Signal transduction mechanisms
Amillepora33576	RNA processing and modification
Amillepora33577	Inorganic ion transport and metabolism
Amillepora33572	Posttranslational modification, protein turnover, chaperones
Amillepora33581	RNA processing and modification
Amillepora33580	Inorganic ion transport and metabolism
Amillepora33578	Transcription
Amillepora33579	Transcription
Amillepora33582	Signal transduction mechanisms
Amillepora33592	Function Unknown
Amillepora33589	Inorganic ion transport and metabolism
Amillepora33596	Signal transduction mechanisms
Amillepora33591	Inorganic ion transport and metabolism
Amillepora33588	Intracellular trafficking, secretion, and vesicular transport
Amillepora33587	Function Unknown
Amillepora33595	Signal transduction mechanisms
Amillepora33593	Posttranslational modification, protein turnover, chaperones
Amillepora33583	Function Unknown
Amillepora33586	Energy production and conversion
Amillepora33590	Inorganic ion transport and metabolism
Amillepora33594	Posttranslational modification, protein turnover, chaperones
Amillepora33597	Signal transduction mechanisms
Amillepora37240	Function Unknown
Amillepora34317	Chromatin structure and dynamics
Amillepora34316	Carbohydrate transport and metabolism
Amillepora34319	Chromatin structure and dynamics
Amillepora34319	Cell cycle control, cell division, chromosome partitioning
Amillepora34314	Cytoskeleton
Amillepora34315	Function Unknown
Amillepora34318	Posttranslational modification, protein turnover, chaperones
Amillepora34327	Amino acid transport and metabolism
Amillepora34324	Replication, recombination and repair
Amillepora34325	Replication, recombination and repair
Amillepora34332	Carbohydrate transport and metabolism
Amillepora34335	Function Unknown
Amillepora34326	Replication, recombination and repair
Amillepora34340	Amino acid transport and metabolism
Amillepora34330	Function Unknown
Amillepora34338	Intracellular trafficking, secretion, and vesicular transport
Amillepora34331	Function Unknown
Amillepora34333	Replication, recombination and repair
Amillepora34337	Function Unknown
Amillepora33670	Signal transduction mechanisms
Amillepora33671	Function Unknown
Amillepora33672	Function Unknown
Amillepora33673	Function Unknown
Amillepora33677	Function Unknown
Amillepora33681	Function Unknown
Amillepora33676	Function Unknown
Amillepora33684	Function Unknown
Amillepora33686	Function Unknown
Amillepora33120	Replication, recombination and repair
Amillepora33116	Replication, recombination and repair
Amillepora33118	Replication, recombination and repair
Amillepora33119	Function Unknown
Amillepora33115	Function Unknown
Amillepora33117	Function Unknown
Amillepora33124	Replication, recombination and repair
Amillepora33122	Function Unknown
Amillepora33125	Replication, recombination and repair
Amillepora33132	Function Unknown
Amillepora33128	Intracellular trafficking, secretion, and vesicular transport
Amillepora33134	Posttranslational modification, protein turnover, chaperones
Amillepora33137	Function Unknown
Amillepora33135	Function Unknown
Amillepora37689	Function Unknown
Amillepora37111	Carbohydrate transport and metabolism
Amillepora37924	Replication, recombination and repair
Amillepora32107	Signal transduction mechanisms
Amillepora32105	Cytoskeleton
Amillepora32109	Signal transduction mechanisms
Amillepora32106	Posttranslational modification, protein turnover, chaperones
Amillepora32108	RNA processing and modification
Amillepora32117	Cell wall/membrane/envelope biogenesis
Amillepora32117	Defense mechanisms
Amillepora32115	Translation, ribosomal structure and biogenesis
Amillepora32111	Signal transduction mechanisms
Amillepora32116	Function Unknown
Amillepora32114	Function Unknown
Amillepora32127	Signal transduction mechanisms
Amillepora32125	Defense mechanisms
Amillepora32125	Extracellular structures
Amillepora32120	Cell motility
Amillepora32119	Posttranslational modification, protein turnover, chaperones
Amillepora32122	Carbohydrate transport and metabolism
Amillepora32121	Carbohydrate transport and metabolism
Amillepora32130	Replication, recombination and repair
Amillepora32134	Signal transduction mechanisms
Amillepora32131	Secondary metabolites biosynthesis, transport and catabolism
Amillepora32128	Transcription
Amillepora32133	Signal transduction mechanisms
Amillepora32132	Signal transduction mechanisms
Amillepora32136	Secondary metabolites biosynthesis, transport and catabolism
Amillepora32152	Function Unknown
Amillepora32138	Transcription
Amillepora32150	Function Unknown
Amillepora32147	Cell motility
Amillepora32148	Posttranslational modification, protein turnover, chaperones
Amillepora32146	Carbohydrate transport and metabolism
Amillepora32135	Signal transduction mechanisms
Amillepora32141	Signal transduction mechanisms
Amillepora32149	Cell wall/membrane/envelope biogenesis
Amillepora32149	Defense mechanisms
Amillepora32137	Replication, recombination and repair
Amillepora32143	Defense mechanisms
Amillepora32143	Extracellular structures
Amillepora32154	Signal transduction mechanisms
Amillepora32151	Translation, ribosomal structure and biogenesis
Amillepora30354	Posttranslational modification, protein turnover, chaperones
Amillepora30352	Translation, ribosomal structure and biogenesis
Amillepora30350	Translation, ribosomal structure and biogenesis
Amillepora30351	Intracellular trafficking, secretion, and vesicular transport
Amillepora30360	Transcription
Amillepora30357	Intracellular trafficking, secretion, and vesicular transport
Amillepora30361	Transcription
Amillepora30353	Intracellular trafficking, secretion, and vesicular transport
Amillepora30362	Signal transduction mechanisms
Amillepora30358	Lipid transport and metabolism
Amillepora30358	Signal transduction mechanisms
Amillepora30367	Posttranslational modification, protein turnover, chaperones
Amillepora30369	Posttranslational modification, protein turnover, chaperones
Amillepora30364	Posttranslational modification, protein turnover, chaperones
Amillepora30377	Posttranslational modification, protein turnover, chaperones
Amillepora30370	Function Unknown
Amillepora30373	Posttranslational modification, protein turnover, chaperones
Amillepora30372	Posttranslational modification, protein turnover, chaperones
Amillepora30374	Function Unknown
Amillepora30371	RNA processing and modification
Amillepora30379	Posttranslational modification, protein turnover, chaperones
Amillepora30380	Posttranslational modification, protein turnover, chaperones
Amillepora30382	Posttranslational modification, protein turnover, chaperones
Amillepora30381	Posttranslational modification, protein turnover, chaperones
Amillepora30383	RNA processing and modification
Amillepora30384	Posttranslational modification, protein turnover, chaperones
Amillepora30387	Posttranslational modification, protein turnover, chaperones
Amillepora30397	Posttranslational modification, protein turnover, chaperones
Amillepora30391	Posttranslational modification, protein turnover, chaperones
Amillepora30389	Posttranslational modification, protein turnover, chaperones
Amillepora30399	Signal transduction mechanisms
Amillepora30388	Posttranslational modification, protein turnover, chaperones
Amillepora30395	Posttranslational modification, protein turnover, chaperones
Amillepora30401	Posttranslational modification, protein turnover, chaperones
Amillepora30418	Signal transduction mechanisms
Amillepora30411	Function Unknown
Amillepora30409	Signal transduction mechanisms
Amillepora30412	Signal transduction mechanisms
Amillepora30422	Amino acid transport and metabolism
Amillepora30422	Lipid transport and metabolism
Amillepora30422	Posttranslational modification, protein turnover, chaperones
Amillepora30422	Defense mechanisms
Amillepora30414	Transcription
Amillepora30414	Signal transduction mechanisms
Amillepora30416	Intracellular trafficking, secretion, and vesicular transport
Amillepora30407	Translation, ribosomal structure and biogenesis
Amillepora30404	Inorganic ion transport and metabolism
Amillepora30405	Posttranslational modification, protein turnover, chaperones
Amillepora30410	Posttranslational modification, protein turnover, chaperones
Amillepora30406	RNA processing and modification
Amillepora30420	Function Unknown
Amillepora30413	Amino acid transport and metabolism
Amillepora30419	Transcription
Amillepora30415	Coenzyme transport and metabolism
Amillepora30403	Inorganic ion transport and metabolism
Amillepora30402	Inorganic ion transport and metabolism
Amillepora33221	Function Unknown
Amillepora33217	Inorganic ion transport and metabolism
Amillepora33217	Signal transduction mechanisms
Amillepora33222	Function Unknown
Amillepora33226	Function Unknown
Amillepora33227	Carbohydrate transport and metabolism
Amillepora33229	Replication, recombination and repair
Amillepora32011	Function Unknown
Amillepora32010	Translation, ribosomal structure and biogenesis
Amillepora32009	Defense mechanisms
Amillepora32008	Posttranslational modification, protein turnover, chaperones
Amillepora32012	Function Unknown
Amillepora32022	Signal transduction mechanisms
Amillepora32020	Defense mechanisms
Amillepora32021	Posttranslational modification, protein turnover, chaperones
Amillepora32019	Translation, ribosomal structure and biogenesis
Amillepora32023	Intracellular trafficking, secretion, and vesicular transport
Amillepora32025	Signal transduction mechanisms
Amillepora32026	Signal transduction mechanisms
Amillepora32024	RNA processing and modification
Amillepora32029	Signal transduction mechanisms
Amillepora32028	Signal transduction mechanisms
Amillepora32035	Function Unknown
Amillepora32043	RNA processing and modification
Amillepora32038	Function Unknown
Amillepora32041	Signal transduction mechanisms
Amillepora32042	Signal transduction mechanisms
Amillepora32045	Intracellular trafficking, secretion, and vesicular transport
Amillepora32040	Signal transduction mechanisms
Amillepora33401	Lipid transport and metabolism
Amillepora33400	Signal transduction mechanisms
Amillepora33407	Lipid transport and metabolism
Amillepora33406	Lipid transport and metabolism
Amillepora33405	Function Unknown
Amillepora33413	Cell wall/membrane/envelope biogenesis
Amillepora33413	Posttranslational modification, protein turnover, chaperones
Amillepora33411	Amino acid transport and metabolism
Amillepora33408	Amino acid transport and metabolism
Amillepora33414	Amino acid transport and metabolism
Amillepora33410	Lipid transport and metabolism
Amillepora33412	Amino acid transport and metabolism
Amillepora33429	Amino acid transport and metabolism
Amillepora33432	Amino acid transport and metabolism
Amillepora33435	Function Unknown
Amillepora33426	Amino acid transport and metabolism
Amillepora33415	Signal transduction mechanisms
Amillepora33430	Lipid transport and metabolism
Amillepora33428	Amino acid transport and metabolism
Amillepora33427	Cell wall/membrane/envelope biogenesis
Amillepora33427	Posttranslational modification, protein turnover, chaperones
Amillepora33420	Function Unknown
Amillepora33434	Lipid transport and metabolism
Amillepora33433	Lipid transport and metabolism
Amillepora33423	Signal transduction mechanisms
Amillepora33425	Signal transduction mechanisms
Amillepora33436	Lipid transport and metabolism
Amillepora33440	Lipid transport and metabolism
Amillepora32596	Signal transduction mechanisms
Amillepora32600	Signal transduction mechanisms
Amillepora32609	Inorganic ion transport and metabolism
Amillepora32609	Signal transduction mechanisms
Amillepora32604	Signal transduction mechanisms
Amillepora32606	Signal transduction mechanisms
Amillepora32616	Signal transduction mechanisms
Amillepora32618	Signal transduction mechanisms
Amillepora32617	Signal transduction mechanisms
Amillepora32624	Function Unknown
Amillepora32628	Function Unknown
Amillepora32622	Signal transduction mechanisms
Amillepora32629	Carbohydrate transport and metabolism
Amillepora32630	Function Unknown
Amillepora32639	Transcription
Amillepora32638	Chromatin structure and dynamics
Amillepora32632	Function Unknown
Amillepora32643	Posttranslational modification, protein turnover, chaperones
Amillepora32636	Function Unknown
Amillepora32640	Function Unknown
Amillepora32631	Signal transduction mechanisms
Amillepora37635	Replication, recombination and repair
Amillepora37638	Function Unknown
Amillepora37637	Function Unknown
Amillepora37021	Transcription
Amillepora37022	Replication, recombination and repair
Amillepora35410	Function Unknown
Amillepora35406	Cytoskeleton
Amillepora35404	Posttranslational modification, protein turnover, chaperones
Amillepora35397	Posttranslational modification, protein turnover, chaperones
Amillepora37943	Replication, recombination and repair
Amillepora37945	Inorganic ion transport and metabolism
Amillepora37945	Signal transduction mechanisms
Amillepora37939	Replication, recombination and repair
Amillepora35930	Posttranslational modification, protein turnover, chaperones
Amillepora35932	Posttranslational modification, protein turnover, chaperones
Amillepora35934	Transcription
Amillepora35933	Posttranslational modification, protein turnover, chaperones
Amillepora35927	Posttranslational modification, protein turnover, chaperones
Amillepora35928	Posttranslational modification, protein turnover, chaperones
Amillepora35931	Posttranslational modification, protein turnover, chaperones
Amillepora35929	Posttranslational modification, protein turnover, chaperones
Amillepora35749	Posttranslational modification, protein turnover, chaperones
Amillepora35750	Translation, ribosomal structure and biogenesis
Amillepora35759	Replication, recombination and repair
Amillepora35753	Translation, ribosomal structure and biogenesis
Amillepora35760	Energy production and conversion
Amillepora35752	Signal transduction mechanisms
Amillepora35756	Energy production and conversion
Amillepora37667	Function Unknown
Amillepora37668	Transcription
Amillepora37840	Function Unknown
Amillepora34500	Intracellular trafficking, secretion, and vesicular transport
Amillepora34502	Function Unknown
Amillepora34501	Function Unknown
Amillepora34499	Nucleotide transport and metabolism
Amillepora34515	Function Unknown
Amillepora34517	Posttranslational modification, protein turnover, chaperones
Amillepora34516	Posttranslational modification, protein turnover, chaperones
Amillepora34512	Function Unknown
Amillepora34518	Chromatin structure and dynamics
Amillepora34518	Cell cycle control, cell division, chromosome partitioning
Amillepora34506	Function Unknown
Amillepora34511	Lipid transport and metabolism
Amillepora34509	Signal transduction mechanisms
Amillepora34509	Defense mechanisms
Amillepora34505	Function Unknown
Amillepora34514	RNA processing and modification
Amillepora36781	Function Unknown
Amillepora36783	Function Unknown
Amillepora34848	Function Unknown
Amillepora35607	Inorganic ion transport and metabolism
Amillepora35607	Signal transduction mechanisms
Amillepora35621	Replication, recombination and repair
Amillepora35610	Replication, recombination and repair
Amillepora35624	Posttranslational modification, protein turnover, chaperones
Amillepora35608	Function Unknown
Amillepora35611	Signal transduction mechanisms
Amillepora35612	Signal transduction mechanisms
Amillepora37679	Transcription
Amillepora37683	Posttranslational modification, protein turnover, chaperones
Amillepora37684	Posttranslational modification, protein turnover, chaperones
Amillepora37816	Function Unknown
Amillepora37815	Function Unknown
Amillepora37817	Function Unknown
Amillepora36453	Transcription
Amillepora36452	Replication, recombination and repair
Amillepora36454	Function Unknown
Amillepora36450	Function Unknown
Amillepora37222	Chromatin structure and dynamics
Amillepora37222	Cell cycle control, cell division, chromosome partitioning
