gene,contribution
Amillepora17906,1.3911869464529355e-4
Amillepora17907,6.926254982515576e-5
Amillepora17900,2.9279586430071733e-6
Amillepora17908,4.132336816989301e-5
Amillepora17904,1.9409776313783502e-4
Amillepora17912,3.5882307907398634e-05
Amillepora17901,2.7753206632006268e-5
Amillepora17909,1.2035649158848677e-4
Amillepora17910,3.5577615629444224e-6
Amillepora17897,2.628658834197979e-4
Amillepora17920,4.378249504788503e-6
Amillepora17917,6.263837713952412e-5
Amillepora17905,9.731382619187945e-5
Amillepora17913,1.0589330590610187e-6
Amillepora17911,1.1685152895401871e-4
Amillepora17921,1.2093870362085852e-5
Amillepora17928,1.707469282585338e-4
Amillepora17925,3.9229683462267846e-5
Amillepora17927,1.1607990734612255e-4
Amillepora17926,2.5305855326958783e-7
Amillepora17932,1.191824251787164e-5
Amillepora17930,7.6329717594771e-6
Amillepora17933,1.4529203275710564e-5
Amillepora17929,1.029982711115352e-6
Amillepora17939,7.01542010733843e-5
Amillepora17936,1.98320652136698e-5
Amillepora17940,1.075637601818617e-4
Amillepora17937,1.8581432570665805e-7
Amillepora17938,1.5078160652882423e-5
Amillepora17941,3.942075171582511e-6
Amillepora17946,1.4500854895203286e-4
Amillepora17943,2.92312540730681e-6
Amillepora17944,1.585538964104045e-4
Amillepora17945,4.209700180867964e-5
Amillepora17950,1.8502093377875563e-7
Amillepora17952,1.1311678467605056e-4
Amillepora17951,4.8237358978016284e-5
Amillepora17947,2.128913940808993e-4
Amillepora17959,8.633185742168801e-5
Amillepora17953,6.7659652338767304e-6
Amillepora17954,4.214734292936568e-5
Amillepora17957,1.1009899996331694e-6
Amillepora17961,7.258646967652712e-6
Amillepora17966,4.211410185146251e-5
Amillepora17969,2.6591633638867915e-6
Amillepora17965,4.93132542262635e-6
Amillepora17967,1.757430275310958e-5
Amillepora17974,2.796952871444076e-7
Amillepora17977,1.1277411374181072e-4
Amillepora17979,3.0443224468935318e-5
Amillepora17978,1.600571496589374e-4
Amillepora17975,5.593534952912024e-6
Amillepora17972,1.1520721702085864e-4
Amillepora17970,2.1589660583200112e-5
Amillepora17976,6.654581218454067e-6
Amillepora17981,4.056428053454551e-6
Amillepora17982,4.06059275242058e-5
Amillepora17980,3.320888555364591e-7
Amillepora17990,2.2164296460938955e-4
Amillepora17985,1.7183930060755083e-7
Amillepora17991,6.329984287117401e-5
Amillepora17994,6.497952515237486e-5
Amillepora17993,4.9602889789103804e-5
Amillepora17998,4.8003093289290244e-6
Amillepora17996,4.299444550662299e-5
Amillepora17999,1.715795001371993e-4
Amillepora17995,5.661999580787118e-5
Amillepora18004,3.2718870621983646e-5
Amillepora18007,2.6233856550572286e-5
Amillepora18008,3.5457799746542093e-6
Amillepora18001,1.4399187467220464e-07
Amillepora18006,5.3444452547803104e-5
