my_title,Run,my_stage,Organism,projType,treat,treatDescription,special,geneCounted,rawCounts,bleached,stress,LibraryLayout
I_bertucci_dayNight_PRJNA288809,SRR2086161,adult,Acropora millepora,circadian,night,night2,none,15816248,78237032,NA,not_a_stress_experiment,SINGLE
I_bertucci_dayNight_PRJNA288809,SRR2086160,adult,Acropora millepora,circadian,night,night1,none,13374279,75958303,NA,not_a_stress_experiment,SINGLE
I_bertucci_dayNight_PRJNA288809,SRR2086159,adult,Acropora millepora,circadian,day,day3,none,12485484,66891825,NA,not_a_stress_experiment,SINGLE
I_bertucci_dayNight_PRJNA288809,SRR2086158,adult,Acropora millepora,circadian,day,day2,none,14563887,62346667,NA,not_a_stress_experiment,SINGLE
I_bertucci_dayNight_PRJNA288809,SRR2086157,adult,Acropora millepora,circadian,day,day1,none,15400883,64182676,NA,not_a_stress_experiment,SINGLE
J_weiss_immune_PRJNA200542,SRR835875,adult,Acropora millepora,immune,control,control,none,851377,1750378,no,control,SINGLE
J_weiss_immune_PRJNA200542,SRR835876,adult,Acropora millepora,immune,control,control,none,967889,2028175,no,control,SINGLE
J_weiss_immune_PRJNA200542,SRR835877,adult,Acropora millepora,immune,control,control,none,591027,1612566,no,control,SINGLE
J_weiss_immune_PRJNA200542,SRR835878,adult,Acropora millepora,immune,control,control,none,964566,2864198,no,control,SINGLE
J_weiss_immune_PRJNA200542,SRR835879,adult,Acropora millepora,immune,control,control,none,781107,1853459,no,control,SINGLE
J_weiss_immune_PRJNA200542,SRR835880,adult,Acropora millepora,immune,control,control,none,1096324,2651674,no,control,SINGLE
J_weiss_immune_PRJNA200542,SRR835881,adult,Acropora millepora,immune,control,control,none,501387,1256340,no,control,SINGLE
J_weiss_immune_PRJNA200542,SRR835882,adult,Acropora millepora,immune,control,control,none,1571160,4636729,no,control,SINGLE
J_weiss_immune_PRJNA200542,SRR835883,adult,Acropora millepora,immune,challenge,bacterial mimic,none,162728,727926,no,stressed,SINGLE
J_weiss_immune_PRJNA200542,SRR835884,adult,Acropora millepora,immune,challenge,bacterial mimic,none,804190,3782808,no,stressed,SINGLE
J_weiss_immune_PRJNA200542,SRR835885,adult,Acropora millepora,immune,challenge,bacterial mimic,none,299434,1176317,no,stressed,SINGLE
J_weiss_immune_PRJNA200542,SRR835886,adult,Acropora millepora,immune,challenge,bacterial mimic,none,1180369,5175461,no,stressed,SINGLE
J_weiss_immune_PRJNA200542,SRR835887,adult,Acropora millepora,immune,challenge,bacterial mimic,none,227002,678659,no,stressed,SINGLE
J_weiss_immune_PRJNA200542,SRR835888,adult,Acropora millepora,immune,challenge,bacterial mimic,none,1367301,4363556,no,stressed,SINGLE
J_weiss_immune_PRJNA200542,SRR835891,adult,Acropora millepora,immune,challenge,viral mimic,none,1695255,4244992,no,stressed,SINGLE
J_weiss_immune_PRJNA200542,SRR835889,adult,Acropora millepora,immune,challenge,bacterial mimic,none,1210909,3203927,no,stressed,SINGLE
J_weiss_immune_PRJNA200542,SRR835890,adult,Acropora millepora,immune,challenge,bacterial mimic,none,1748851,4277782,no,stressed,SINGLE
J_weiss_immune_PRJNA200542,SRR835892,adult,Acropora millepora,immune,challenge,viral mimic,none,493118,1100700,no,stressed,SINGLE
J_weiss_immune_PRJNA200542,SRR835893,adult,Acropora millepora,immune,challenge,viral mimic,none,1989490,5318211,no,stressed,SINGLE
J_weiss_immune_PRJNA200542,SRR835895,adult,Acropora millepora,immune,challenge,viral mimic,none,1110812,2700305,no,stressed,SINGLE
J_weiss_immune_PRJNA200542,SRR835896,adult,Acropora millepora,immune,challenge,viral mimic,none,685033,1580216,no,stressed,SINGLE
J_weiss_immune_PRJNA200542,SRR835894,adult,Acropora millepora,immune,challenge,viral mimic,none,1660610,4051739,no,stressed,SINGLE
K_strader_redDiapause_PRJNA292574,SRR2912594,larval,Acropora millepora,light,not done yet,g1r1,none,368,980,NA,not_a_stress_experiment,SINGLE
K_strader_redDiapause_PRJNA292574,SRR2912603,larval,Acropora millepora,light,not done yet,R1g1,none,124058,469149,NA,not_a_stress_experiment,SINGLE
K_strader_redDiapause_PRJNA292574,SRR2912607,larval,Acropora millepora,light,not done yet,R2r1,none,162149,565187,NA,not_a_stress_experiment,SINGLE
K_strader_redDiapause_PRJNA292574,SRR2912606,larval,Acropora millepora,light,not done yet,R2g1,none,170055,605259,NA,not_a_stress_experiment,SINGLE
K_strader_redDiapause_PRJNA292574,SRR2912605,larval,Acropora millepora,light,not done yet,R2d1,none,134455,521997,NA,not_a_stress_experiment,SINGLE
K_strader_redDiapause_PRJNA292574,SRR2912604,larval,Acropora millepora,light,not done yet,R1r1,none,100743,372951,NA,not_a_stress_experiment,SINGLE
K_strader_redDiapause_PRJNA292574,SRR2912601,larval,Acropora millepora,light,not done yet,M2r1,none,170826,609135,NA,not_a_stress_experiment,SINGLE
K_strader_redDiapause_PRJNA292574,SRR2912600,larval,Acropora millepora,light,not done yet,g2r1,none,199006,680006,NA,not_a_stress_experiment,SINGLE
K_strader_redDiapause_PRJNA292574,SRR2912599,larval,Acropora millepora,light,not done yet,M2g1,none,91364,304686,NA,not_a_stress_experiment,SINGLE
K_strader_redDiapause_PRJNA292574,SRR2912598,larval,Acropora millepora,light,not done yet,g2g1,none,228097,817256,NA,not_a_stress_experiment,SINGLE
K_strader_redDiapause_PRJNA292574,SRR2912597,larval,Acropora millepora,light,not done yet,M2d1,none,148338,528451,NA,not_a_stress_experiment,SINGLE
K_strader_redDiapause_PRJNA292574,SRR2912596,larval,Acropora millepora,light,not done yet,g2d1,none,173911,582016,NA,not_a_stress_experiment,SINGLE
K_strader_redDiapause_PRJNA292574,SRR2912595,larval,Acropora millepora,light,not done yet,M1r1,none,130245,453974,NA,not_a_stress_experiment,SINGLE
